
#Source name ,Components,$\alpha_{2000}$ ,$\delta_{2000}$ ,$\sigma_{p 95 stat}$ ,$r_{39}$ ,TS ,$N_0$ ,$\Gamma$ ,TS$_{100}$,Asso.(Sep.[$^{\circ}$])


 1LHAASOJ0007$+$5659u , KM2A , 1.86 , 57.00 , 0.12 , $<$0.18 , 86.5 , 0.33$\pm$0.05 , 3.10$\pm$0.20 , 43.6 , 
 , WCDA , , , , , , $<$0.27 , , , 

 1LHAASOJ0007$+$7303u , KM2A , 1.91 , 73.07 , 0.07 , 0.17$\pm$0.03 , 361.0 , 3.41$\pm$0.27 , 3.40$\pm$0.12 , 171.6 ,   CTA 1                 (0.12) 
 , WCDA , 1.48 , 73.15 , 0.10 , $<$0.22 , 141.6 , 5.01$\pm$1.11 , 2.74$\pm$0.11 , , 

 1LHAASOJ0056$+$6346u , KM2A , 14.10 , 63.77 , 0.08 , 0.24$\pm$0.03 , 380.2 , 1.47$\pm$0.10 , 3.33$\pm$0.10 , 94.1 ,  
 , WCDA , 13.78 , 63.96 , 0.15 , 0.33$\pm$0.07 , 106.1 , 1.45$\pm$0.41 , 2.35$\pm$0.13 , ,  

 1LHAASOJ0206$+$4302u , KM2A , 31.70 , 43.05 , 0.13 , $<$0.27 , 96.0 , 0.24$\pm$0.03 , 2.62$\pm$0.16 , 82.8 , 
 , WCDA , , , , , , $<$0.09 , , , 

 1LHAASOJ0212$+$4254u , KM2A , 33.01 , 42.91 , 0.20 , $<$0.31 , 38.4 , 0.12$\pm$0.03 , 2.45$\pm$0.23 , 30.2 , 
 , WCDA , , , , , , $<$0.07 , , , 

 1LHAASOJ0216$+$4237u , KM2A , 34.10 , 42.63 , 0.10 , $<$0.13 , 102.0 , 0.18$\pm$0.03 , 2.58$\pm$0.17 , 65.6 , 
 , WCDA , , , , , , $<$0.20 , , , 

 1LHAASOJ0249$+$6022 , KM2A , 42.39 , 60.37 , 0.16 , 0.38$\pm$0.08 , 148.8 , 0.93$\pm$0.09 , 3.82$\pm$0.18 ,  ,  
 , WCDA , 41.52 , 60.49 , 0.40 , 0.71$\pm$0.10 , 53.3 , 1.96$\pm$0.51 , 2.52$\pm$0.16 , ,  

 1LHAASOJ0339$+$5307 , KM2A , 54.79 , 53.13 , 0.11 , $<$0.22 , 144.0 , 0.58$\pm$0.06 , 3.64$\pm$0.16 , , LHAASOJ0341+5258 (0.37)
 , WCDA , , , , , , $<$0.21 , , , 

 1LHAASOJ0343$+$5254u* , KM2A , 55.79 , 52.91 , 0.08 , 0.20$\pm$0.02 , 388.1 , 1.07$\pm$0.07 , 3.53$\pm$0.10 , 20.2 ,   LHAASOJ0341+5258     (0.28) 
 , WCDA , 55.34 , 53.05 , 0.18 , 0.33$\pm$0.05 , 94.1 , 0.29$\pm$0.13 , 1.70$\pm$0.19 , ,  

 1LHAASOJ0359$+$5406 , KM2A , 59.78 , 54.10 , 0.10 , 0.30$\pm$0.04 , 259.2 , 0.85$\pm$0.06 , 3.84$\pm$0.15 ,  ,  
 , WCDA , 59.68 , 54.21 , 0.14 , 0.22$\pm$0.05 , 59.3 , 0.18$\pm$0.12 , 1.74$\pm$0.28 , ,  

1LHAASOJ0428$+$5531* , WCDA , 67.23 , 55.53 , 0.36 , 1.18$\pm$0.12 , 153.8 , 4.73$\pm$0.65 , 2.66$\pm$0.10 , , 
 , KM2A , 66.63 , 54.63 , 0.18 , 0.32$\pm$0.06 , 98.0 , 0.54$\pm$0.06 , 3.45$\pm$0.19 ,  , 

1LHAASOJ0500$+$4454 , WCDA , 75.01 , 44.92 , 0.28 , 0.41$\pm$0.07 , 43.6 , 0.69$\pm$0.16 , 2.53$\pm$0.20 , , 
 , KM2A , , , , , , $<$0.09 , , , 

 1LHAASOJ0534$+$3533 , KM2A , 83.53 , 35.56 , 0.18 , $<$0.36 , 60.8 , 0.19$\pm$0.03 , 4.89$\pm$0.53 , , 
 , WCDA , 83.38 , 35.48 , 0.18 , $<$0.36 , 50.4 , 0.43$\pm$0.11 , 2.37$\pm$0.21 , ,

